name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N2C2W1_L,GA,60,9,49,11,58,-2
N2C2W1_M,GA,56,8,44,12,52,-4
N2C2W1_N,GA,58,8,43,15,51,-7
N2C2W1_O,GA,61,12,50,11,59,-2
N2C2W1_P,GA,59,9,46,13,54,-5
N2C2W1_Q,GA,61,9,49,12,58,-3
N2C2W1_R,GA,53,8,41,12,49,-4
N2C2W1_S,GA,55,11,43,12,51,-4
N2C2W1_T,GA,48,10,39,9,46,-2
N2C2W2_A,GA,66,15,52,14,62,-4
N2C2W2_B,GA,68,14,56,12,66,-2
N2C2W2_C,GA,66,15,53,13,63,-3
N2C2W2_D,GA,67,15,51,16,60,-7
N2C2W2_E,GA,65,12,54,11,64,-1
N2C2W2_F,GA,59,12,48,11,57,-2
N2C2W2_G,GA,68,13,53,15,63,-5
N2C2W2_H,GA,67,14,53,14,63,-4
N2C2W2_I,GA,62,13,49,13,58,-4
N2C2W2_J,GA,72,15,56,16,66,-6
N2C2W2_K,GA,64,12,50,14,59,-5
N2C2W2_L,GA,71,14,52,19,62,-9
N2C2W2_M,GA,67,12,54,13,64,-3
N2C2W2_N,GA,65,13,51,14,60,-5
N2C2W2_O,GA,66,14,50,16,59,-7
N2C2W2_P,GA,66,14,50,16,59,-7
N2C2W2_Q,GA,70,14,54,16,64,-6
N2C2W2_R,GA,65,12,51,14,60,-5
N2C2W2_S,GA,71,15,58,13,69,-2
N2C2W2_T,GA,68,15,56,12,66,-2
N2C2W4_A,GA,72,11,57,15,67,-5
N2C2W4_B,GA,75,15,60,15,71,-4
N2C2W4_C,GA,78,15,65,13,77,-1
N2C2W4_D,GA,77,15,61,16,72,-5
N2C2W4_E,GA,72,16,60,12,71,-1
N2C2W4_F,GA,74,12,57,17,67,-7
N2C2W4_G,GA,76,12,61,15,72,-4
N2C2W4_H,GA,75,11,61,14,72,-3
N2C2W4_I,GA,73,15,58,15,69,-4
N2C2W4_J,GA,75,15,60,15,71,-4
N2C2W4_K,GA,75,14,59,16,70,-5
N2C2W4_L,GA,72,15,57,15,67,-5
N2C2W4_M,GA,78,11,60,18,71,-7
N2C2W4_N,GA,77,16,63,14,75,-2
N2C2W4_O,GA,75,14,62,13,73,-2
N2C2W4_P,GA,73,16,60,13,71,-2
N2C2W4_Q,GA,73,15,62,11,73,0
N2C2W4_R,GA,72,15,56,16,66,-6
N2C2W4_S,GA,71,11,55,16,65,-6
N2C2W4_T,GA,72,15,57,15,67,-5
N2C3W1_A,GA,44,9,35,9,41,-3
N2C3W1_B,GA,44,10,35,9,41,-3
N2C3W1_C,GA,45,7,35,10,41,-4
N2C3W1_D,GA,48,10,37,11,44,-4
